Profile,Map,Character,PUUID,Mode,Rounds,Round Differential,Score,Win,Start,End,Length,Date,ability1,ability2,signature,ultimate,KDA,Kills,Deaths,Assists,Damage Made,Damage Received,Headshot %,Headshot,Body,Legs,Start Time (UNIX),End Time (UNIX),links,Damage Ratio,Log,Filename
perry2n,Lotus,Brimstone,1ed8aef4-c022-569f-b9d1-75e2d5842248,competitive,17.0,9,-53.85,True,09:10:40 AM,09:35:29 AM,1489,2024-02-02,15.0,6.0,38.0,1.0,3.33,7.0,6.0,13.0,1328.0,1324.0,5.88,2 (5.88%),29 (85.29%),3 (8.82%),1706865040.0,1706866529.0,https://www.twitch.tv/videos/2050722647?t=02h50m25s,1.0030211480362539,"Kills: 7.0, Bonus: -34.00); KDA: 3.33 (Tier: KDA:3.0:1.5, Bonus: 1.5); Headshot %: 5.88, Bonus: -20.60); Length: 1489.0, Bonus: 0.24); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 9.0 (Tier: Round Differential:5.0:1.0, Bonus: 1.0); Damage Ratio: 1.0030211480362539, Bonus: -4.99); Assists: 13.0, Bonus: 0.70); Deaths: 6.0, Bonus: 0.30)","1706865040, perry2n, Brimstone, Lotus, 7K, 6D, 13A, 13-4, win True.md"
eggsterr_,Split,Yoru,baf09be5-92bd-5ad0-9985-66d635e65f1a,competitive,17.0,-9,-17.35,False,09:27:46 AM,09:54:01 AM,1575,2024-02-02,16.0,16.0,27.0,2.0,1.29,14.0,14.0,4.0,3143.0,2954.0,19.48,15 (19.48%),53 (68.83%),9 (11.69%),1706866066.0,1706867641.0,https://www.twitch.tv/videos/2050608728?t=06h14m54s,1.0639810426540284,"Kills: 14.0, Bonus: -7.33); KDA: 1.29, Bonus: -0.92); Headshot %: 19.48, Bonus: -0.95); Damage Made: 3143.0, Bonus: 0.59); Length: 1575.0, Bonus: 0.31); Win: 0.0, Bonus: -3.00); Damage Ratio: 1.0639810426540284, Bonus: -4.74); Deaths: 14.0, Bonus: -1.30)","1706866066, eggsterr_, Yoru, Split, 14K, 14D, 4A, 4-13, win False.md"
s0mcs,Split,Jett,d1f0ff26-4670-5a4e-8302-29325aadbfb0,competitive,17.0,9,-4.4,True,09:27:46 AM,09:54:01 AM,1575,2024-02-02,11.0,6.0,22.0,3.0,1.29,17.0,14.0,1.0,2705.0,2881.0,12.16,9 (12.16%),57 (77.03%),8 (10.81%),1706866066.0,1706867641.0,https://www.twitch.tv/videos/2050716594?t=03h21m45s,0.9389101006594932,"Kills: 17.0, Bonus: -5.33); KDA: 1.29, Bonus: -0.92); Headshot %: 12.16, Bonus: -0.22); Damage Made: 2705.0, Bonus: 0.06); Length: 1575.0, Bonus: 0.31); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 9.0 (Tier: Round Differential:5.0:1.0, Bonus: 1.0); Deaths: 14.0, Bonus: -1.30)","1706866066, s0mcs, Jett, Split, 17K, 14D, 1A, 13-4, win True.md"
jingggxd,Bind,Raze,9ac13b84-e393-5327-8b8b-d30998fba73d,competitive,26.0,-2,-12.07,False,09:46:06 AM,10:27:01 AM,2455,2024-02-02,13.0,22.0,24.0,4.0,1.35,21.0,20.0,6.0,4336.0,3953.0,14.44,13 (14.44%),70 (77.78%),7 (7.78%),1706867166.0,1706869621.0,https://www.twitch.tv/videos/2050791723?t=00h05m26s,1.0968884391601315,"Kills: 21.0, Bonus: -2.67); KDA: 1.35, Bonus: -0.80); Headshot %: 14.44, Bonus: -0.44); Damage Made: 4336.0, Bonus: 1.30); Length: 2455.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 0.0, Bonus: -3.00); Round Differential: -2.0, Bonus: -0.50); Damage Ratio: 1.0968884391601315, Bonus: -4.61); Assists: 6.0, Bonus: -0.35); Deaths: 20.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1706867166, jingggxd, Raze, Bind, 21K, 20D, 6A, 12-14, win False.md"
eggsterr_,Icebox,Yoru,baf09be5-92bd-5ad0-9985-66d635e65f1a,competitive,23.0,3,-8.68,True,09:57:32 AM,10:37:49 AM,2417,2024-02-02,17.0,18.0,34.0,3.0,1.44,18.0,16.0,5.0,3217.0,3163.0,28.12,18 (28.12%),44 (68.75%),2 (3.12%),1706867852.0,1706870269.0,https://www.twitch.tv/videos/2050608728?t=06h44m40s,1.0170723996206132,"Kills: 18.0, Bonus: -4.67); KDA: 1.44, Bonus: -0.62); Headshot %: 28.12, Bonus: -0.39); Damage Made: 3217.0, Bonus: 0.63); Length: 2417.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 3.0, Bonus: 0.80); Damage Ratio: 1.0170723996206132, Bonus: -4.93); Assists: 5.0, Bonus: -0.50); Deaths: 16.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1706867852, eggsterr_, Yoru, Icebox, 18K, 16D, 5A, 13-10, win True.md"
s0mcs,Icebox,Jett,d1f0ff26-4670-5a4e-8302-29325aadbfb0,competitive,23.0,3,-0.17,True,09:57:32 AM,10:37:49 AM,2417,2024-02-02,16.0,12.0,31.0,4.0,1.48,29.0,21.0,2.0,5172.0,3802.0,27.03,20 (27.03%),46 (62.16%),8 (10.81%),1706867852.0,1706870269.0,https://www.twitch.tv/videos/2050716594?t=03h51m31s,1.3603366649132036,"Kills: 29.0, Bonus: 0.80); KDA: 1.48, Bonus: -0.54); Headshot %: 27.03, Bonus: -0.47); Damage Made: 5172.0, Bonus: 1.80); Length: 2417.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 3.0, Bonus: 0.80); Damage Ratio: 1.3603366649132036, Bonus: -3.56); Deaths: 21.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1706867852, s0mcs, Jett, Icebox, 29K, 21D, 2A, 13-10, win True.md"
fakeananas,Icebox,Skye,fb3e0b5f-2988-56bf-b9dc-aca91cec755a,competitive,21.0,5,-5.34,True,10:03:55 AM,10:39:18 AM,2123,2024-02-02,3.0,7.0,23.0,3.0,2.0,19.0,15.0,11.0,3395.0,3257.0,31.37,16 (31.37%),33 (64.71%),2 (3.92%),1706868235.0,1706870358.0,https://www.twitch.tv/videos/2050787496?t=00h36m25s,1.0423702793982192,"Kills: 19.0, Bonus: -4.00); KDA: 2.0, Bonus: 0.50); Headshot %: 31.37, Bonus: -0.15); Damage Made: 3395.0, Bonus: 0.74); Length: 2123.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 5.0 (Tier: Round Differential:5.0:1.0, Bonus: 1.0); Damage Ratio: 1.0423702793982192, Bonus: -4.83); Assists: 11.0, Bonus: 0.40); Deaths: 15.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1706868235, fakeananas, Skye, Icebox, 19K, 15D, 11A, 13-8, win True.md"
jingggxd,Breeze,Phoenix,9ac13b84-e393-5327-8b8b-d30998fba73d,competitive,18.0,-8,-16.3,False,10:28:15 AM,10:53:35 AM,1520,2024-02-02,2.0,13.0,6.0,4.0,1.0,11.0,14.0,3.0,2195.0,3292.0,23.68,9 (23.68%),28 (73.68%),1 (2.63%),1706869695.0,1706871215.0,https://www.twitch.tv/videos/2050791723?t=00h47m35s,0.666767922235723,"Kills: 11.0, Bonus: -9.33); KDA: 1.0, Bonus: -1.50); Headshot %: 23.68, Bonus: -0.72); Damage Made: 2195.0, Bonus: -0.71); Length: 1520.0, Bonus: 0.27); Win: 0.0, Bonus: -3.00); Deaths: 14.0, Bonus: -1.30)","1706869695, jingggxd, Phoenix, Breeze, 11K, 14D, 3A, 5-13, win False.md"
eggsterr_,Lotus,Yoru,baf09be5-92bd-5ad0-9985-66d635e65f1a,competitive,18.0,8,-4.45,True,10:43:11 AM,11:09:34 AM,1583,2024-02-02,9.0,14.0,29.0,3.0,1.75,19.0,12.0,2.0,3208.0,2388.0,35.14,13 (35.14%),22 (59.46%),2 (5.41%),1706870591.0,1706872174.0,https://www.twitch.tv/videos/2050608728?t=07h30m19s,1.3433835845896147,"Kills: 19.0, Bonus: -4.00); KDA: 1.75, Bonus: 0.00); Headshot %: 35.14, Bonus: 0.14); Damage Made: 3208.0, Bonus: 0.62); Length: 1583.0, Bonus: 0.32); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 8.0 (Tier: Round Differential:5.0:1.0, Bonus: 1.0); Damage Ratio: 1.3433835845896147, Bonus: -3.63); Deaths: 12.0, Bonus: -0.90)","1706870591, eggsterr_, Yoru, Lotus, 19K, 12D, 2A, 13-5, win True.md"
s0mcs,Bind,Skye,d1f0ff26-4670-5a4e-8302-29325aadbfb0,competitive,14.0,-12,-30.51,False,10:50:27 AM,11:11:47 AM,1280,2024-02-02,0.0,6.0,22.0,2.0,0.77,8.0,13.0,2.0,1822.0,2092.0,26.92,7 (26.92%),18 (69.23%),1 (3.85%),1706871027.0,1706872307.0,https://www.twitch.tv/videos/2050716594?t=04h44m26s,0.8709369024856597,"Kills: 8.0, Bonus: -26.00); Headshot %: 26.92, Bonus: -0.48); Length: 1280.0, Bonus: 0.07); Win: 0.0, Bonus: -3.00); Deaths: 13.0, Bonus: -1.10)","1706871027, s0mcs, Skye, Bind, 8K, 13D, 2A, 1-13, win False.md"
fakeananas,Breeze,KAY/O,fb3e0b5f-2988-56bf-b9dc-aca91cec755a,competitive,24.0,-2,-14.7,False,10:51:02 AM,11:32:06 AM,2464,2024-02-02,7.0,19.0,29.0,2.0,1.17,11.0,18.0,10.0,2696.0,3640.0,33.33,13 (33.33%),24 (61.54%),2 (5.13%),1706871062.0,1706873526.0,https://www.twitch.tv/videos/2050787496?t=01h23m32s,0.7406593406593407,"Kills: 11.0, Bonus: -9.33); KDA: 1.17, Bonus: -1.16); Headshot %: 33.33, Bonus: -0.00); Damage Made: 2696.0, Bonus: 0.04); Length: 2464.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 0.0, Bonus: -3.00); Round Differential: -2.0, Bonus: -0.50); Assists: 10.0, Bonus: 0.25); Deaths: 18.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1706871062, fakeananas, KAYO, Breeze, 11K, 18D, 10A, 11-13, win False.md"
jingggxd,Ascent,Omen,9ac13b84-e393-5327-8b8b-d30998fba73d,competitive,30.0,0,-9.16,False,10:59:57 AM,11:45:28 AM,2731,2024-02-02,12.0,19.0,58.0,0.0,1.29,16.0,24.0,15.0,3354.0,4848.0,27.27,15 (27.27%),39 (70.91%),1 (1.82%),1706871597.0,1706874328.0,https://www.twitch.tv/videos/2050791723?t=01h19m17s,0.6918316831683168,"Kills: 16.0, Bonus: -6.00); KDA: 1.29, Bonus: -0.92); Headshot %: 27.27, Bonus: -0.45); Damage Made: 3354.0, Bonus: 0.71); Length: 2731.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 0.0, Bonus: -3.00); Round Differential: 0.0, Bonus: 0.50); Assists: 15.0 (Tier: Assists:15.0:1.0, Bonus: 1.0); Deaths: 24.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1706871597, jingggxd, Omen, Ascent, 16K, 24D, 15A, 15-15, win False.md"
fakeananas,Sunset,Phoenix,fb3e0b5f-2988-56bf-b9dc-aca91cec755a,competitive,19.0,-7,-15.11,False,11:34:41 AM,12:05:00 PM,1819,2024-02-02,2.0,13.0,11.0,3.0,1.07,11.0,14.0,4.0,1948.0,3005.0,16.13,5 (16.13%),26 (83.87%),0 (0.00%),1706873681.0,1706875500.0,https://www.twitch.tv/videos/2050787496?t=02h07m11s,0.648252911813644,"Kills: 11.0, Bonus: -9.33); KDA: 1.07, Bonus: -1.36); Headshot %: 16.13, Bonus: -0.61); Length: 1819.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 0.0, Bonus: -3.00); Deaths: 14.0, Bonus: -1.30)","1706873681, fakeananas, Phoenix, Sunset, 11K, 14D, 4A, 6-13, win False.md"
jingggxd,Breeze,Phoenix,9ac13b84-e393-5327-8b8b-d30998fba73d,competitive,19.0,7,2.24,True,11:53:01 AM,12:18:26 PM,1525,2024-02-02,2.0,21.0,3.0,4.0,2.8,24.0,10.0,4.0,4061.0,2535.0,37.25,19 (37.25%),30 (58.82%),2 (3.92%),1706874781.0,1706876306.0,https://www.twitch.tv/videos/2050791723?t=02h12m21s,1.6019723865877713,"Kills: 24.0, Bonus: -0.67); KDA: 2.8, Bonus: 1.30); Headshot %: 37.25, Bonus: 0.29); Damage Made: 4061.0, Bonus: 1.14); Length: 1525.0, Bonus: 0.27); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 7.0 (Tier: Round Differential:5.0:1.0, Bonus: 1.0); Damage Ratio: 1.6019723865877713, Bonus: -2.59); Deaths: 10.0, Bonus: -0.50)","1706874781, jingggxd, Phoenix, Breeze, 24K, 10D, 4A, 13-6, win True.md"
fakeananas,Lotus,Gekko,fb3e0b5f-2988-56bf-b9dc-aca91cec755a,competitive,18.0,-8,-11.87,False,12:08:28 PM,12:37:48 PM,1760,2024-02-02,9.0,11.0,19.0,3.0,0.88,13.0,16.0,1.0,2636.0,2747.0,36.11,13 (36.11%),21 (58.33%),2 (5.56%),1706875708.0,1706877468.0,https://www.twitch.tv/videos/2050787496?t=02h40m58s,0.9595922824899891,"Kills: 13.0, Bonus: -8.00); Headshot %: 36.11, Bonus: 0.21); Damage Made: 2636.0, Bonus: -0.05); Length: 1760.0, Bonus: 0.47); Win: 0.0, Bonus: -3.00); Deaths: 16.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1706875708, fakeananas, Gekko, Lotus, 13K, 16D, 1A, 5-13, win False.md"
jingggxd,Split,Raze,9ac13b84-e393-5327-8b8b-d30998fba73d,competitive,28.0,2,1.41,True,12:35:17 PM,01:20:05 PM,2688,2024-02-02,21.0,25.0,20.0,4.0,1.84,31.0,19.0,4.0,5814.0,3835.0,17.36,21 (17.36%),93 (76.86%),7 (5.79%),1706877317.0,1706880005.0,https://www.twitch.tv/videos/2050791723?t=02h54m37s,1.5160365058670144,"Kills: 31.0, Bonus: 1.20); KDA: 1.84, Bonus: 0.18); Headshot %: 17.36, Bonus: -0.74); Damage Made: 5814.0 (Tier: Damage Made:5500.0:2.0, Bonus: 2.0); Length: 2688.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 2.0, Bonus: 0.70); Damage Ratio: 1.5160365058670144, Bonus: -2.94); Deaths: 19.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1706877317, jingggxd, Raze, Split, 31K, 19D, 4A, 15-13, win True.md"
fakeananas,Bind,Skye,fb3e0b5f-2988-56bf-b9dc-aca91cec755a,competitive,22.0,4,0.82,True,12:46:56 PM,01:17:29 PM,1833,2024-02-02,5.0,9.0,25.0,3.0,2.91,23.0,11.0,9.0,3815.0,2395.0,27.78,15 (27.78%),38 (70.37%),1 (1.85%),1706878016.0,1706879849.0,https://www.twitch.tv/videos/2050787496?t=03h19m26s,1.592901878914405,"Kills: 23.0, Bonus: -1.33); KDA: 2.91, Bonus: 1.41); Headshot %: 27.78, Bonus: -0.42); Damage Made: 3815.0, Bonus: 0.99); Length: 1833.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 4.0, Bonus: 0.90); Damage Ratio: 1.592901878914405, Bonus: -2.63); Assists: 9.0, Bonus: 0.10); Deaths: 11.0, Bonus: -0.70)","1706878016, fakeananas, Skye, Bind, 23K, 11D, 9A, 13-9, win True.md"
fakeananas,Split,Gekko,fb3e0b5f-2988-56bf-b9dc-aca91cec755a,competitive,30.0,0,-4.74,False,01:21:23 PM,02:10:22 PM,2939,2024-02-02,19.0,27.0,32.0,8.0,1.68,31.0,22.0,6.0,5747.0,4423.0,31.33,26 (31.33%),52 (62.65%),5 (6.02%),1706880083.0,1706883022.0,https://www.twitch.tv/videos/2050787496?t=03h53m53s,1.2993443364232422,"Kills: 31.0, Bonus: 1.20); KDA: 1.68, Bonus: -0.14); Headshot %: 31.33, Bonus: -0.15); Damage Made: 5747.0 (Tier: Damage Made:5500.0:2.0, Bonus: 2.0); Length: 2939.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 0.0, Bonus: -3.00); Round Differential: 0.0, Bonus: 0.50); Damage Ratio: 1.2993443364232422, Bonus: -3.80); Assists: 6.0, Bonus: -0.35); Deaths: 22.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1706880083, fakeananas, Gekko, Split, 31K, 22D, 6A, 15-15, win False.md"
jingggxd,Lotus,Raze,9ac13b84-e393-5327-8b8b-d30998fba73d,competitive,17.0,-9,-21.58,False,01:27:07 PM,01:52:57 PM,1550,2024-02-02,8.0,19.0,19.0,3.0,1.07,15.0,14.0,0.0,2504.0,2796.0,8.14,7 (8.14%),64 (74.42%),15 (17.44%),1706880427.0,1706881977.0,https://www.twitch.tv/videos/2050791723?t=03h46m27s,0.8955650929899857,"Kills: 15.0, Bonus: -6.67); KDA: 1.07, Bonus: -1.36); Headshot %: 8.14, Bonus: -9.30); Damage Made: 2504.0, Bonus: -0.24); Length: 1550.0, Bonus: 0.29); Win: 0.0, Bonus: -3.00); Deaths: 14.0, Bonus: -1.30)","1706880427, jingggxd, Raze, Lotus, 15K, 14D, 0A, 4-13, win False.md"
